,winery,variety,country,province,price,points
20485,Ricardo Santos,Sémillon,Argentina,Mendoza Province,16.0,85
20486,Mulderbosch,Cabernet Sauvignon,South Africa,Stellenbosch,12.0,87
20487,Château la Genestière,Rhône-style Red Blend,France,Rhône Valley,22.0,90
20488,Matanzas Creek,Merlot,US,California,35.0,90
20489,Stevenot,Sauvignon Blanc,US,California,15.0,87
20490,Stéphane Aviron,Gamay,France,Beaujolais,24.0,94
20491,RayLen,Bordeaux-style Red Blend,US,North Carolina,25.0,84
20492,Château Sainte Barbe,Bordeaux-style Red Blend,France,Bordeaux,15.0,88
20493,Charles B. Mitchell,Zinfandel,US,California,18.0,91
20494,Argyle,Pinot Noir,US,Oregon,50.0,89
20495,Arrocal,Rosé,Spain,Northern Spain,14.0,81
20496,Contini,Vermentino,Italy,Sicily & Sardinia,13.0,89
20497,MacRostie,Chardonnay,US,California,25.0,90
20498,Collemattoni,Sangiovese Grosso,Italy,Tuscany,85.0,89
20499,Cesari,"Corvina, Rondinella, Molinara",Italy,Veneto,45.0,92
20500,Torbreck,Rosé,Australia,South Australia,20.0,90
20501,Corliss Estates,Cabernet Sauvignon,US,Washington,75.0,94
20502,Fattoria Tregole,Sangiovese,Italy,Tuscany,20.0,89
20503,Lujon,White Riesling,US,Oregon,9.0,88
20504,Contadi Castaldi,Sparkling Blend,Italy,Lombardy,24.0,88
20505,Washington Hills,Riesling,US,Washington,10.0,86
20506,Pelassa,Nebbiolo,Italy,Piedmont,23.0,88
20507,Barone Ricasoli,Red Blend,Italy,Tuscany,49.0,92
20508,Château Roubine,Rosé,France,Provence,23.0,89
20509,Donatella Cinelli Colombini,Red Blend,Italy,Tuscany,25.0,88
20510,Atrea,Red Blend,US,California,25.0,89
20511,Château Bellevue Canterrane,Bordeaux-style Red Blend,France,Bordeaux,32.0,89
20512,Airfield Estates,Riesling,US,Washington,15.0,89
20513,Lambert Bridge,Merlot,US,California,24.0,92
20514,Cantina Terlano,White Blend,Italy,Northeastern Italy,60.0,88
20515,De Sousa &,Chardonnay,France,Champagne,56.0,90
20516,Bodega Otto Bestué,Tempranillo-Cabernet Sauvignon,Spain,Northern Spain,20.0,87
20517,Cherry Pie,Pinot Noir,US,California,50.0,90
20518,Testarossa,Chardonnay,US,California,20.0,89
20519,Villa,Sparkling Blend,Italy,Lombardy,37.0,90
20520,Ponga,Pinot Noir,New Zealand,Marlborough,16.0,86
20521,Forgeron,Rhône-style White Blend,US,Washington,25.0,91
20522,Archium,Rosé,US,California,18.0,86
20523,Telavi,Rkatsiteli,Georgia,Kakheti,30.0,87
20524,Babcock,Pinot Grigio,US,California,14.0,88
20525,Hip Chicks,Rosé,US,Oregon,18.0,83
20526,Belden Barns,Pinot Noir,US,California,38.0,84
20527,Quinta das Carvalhas,Tinta Francisca,Portugal,Douro,60.0,89
20528,Tramin,Pinot Grigio,Italy,Northeastern Italy,31.0,90
20529,Sobon Estate,Syrah,US,California,16.0,88
20530,Lionel Osmin &,Bordeaux-style White Blend,France,Southwest France,15.0,85
20531,Lallier,Champagne Blend,France,Champagne,92.0,91
20532,Caldora Vini,Pinot Grigio,Italy,Central Italy,11.0,84
20533,Market Vineyards,Cabernet Sauvignon,US,Washington,52.0,92
20534,Presqu'ile,Pinot Noir,US,California,18.0,90
20535,Rui Roboredo Madeira,Portuguese Red,Portugal,Douro,16.0,88
20536,Londer,Pinot Noir,US,California,48.0,93
20537,Botanica,Chenin Blanc,South Africa,Western Cape,22.0,89
20538,Torii Mor,Pinot Blanc,US,Oregon,20.0,85
20539,Torre Oria,Bobal,Spain,Levante,13.0,83
20540,Law,Grenache,US,California,85.0,93
20541,Veramar,Chardonnay,US,Virginia,25.0,87
20542,Tahbilk,Viognier,Australia,Victoria,19.0,92
20543,Kellerei Kaltern Caldaro,Pinot Grigio,Italy,Northeastern Italy,25.0,90
20544,I Veroni,Sangiovese,Italy,Tuscany,15.0,86
20545,Bodegas Caro,Red Blend,Argentina,Mendoza Province,63.0,94
20546,Banfi,Rosato,Italy,Tuscany,11.0,86
20547,Dr. Pauly Bergweiler,Riesling,Germany,Mosel,34.0,92
20548,Belle Ambiance,Pinot Grigio,US,California,10.0,86
20549,Conarium,Chardonnay,US,California,22.0,88
20550,Tempus Cellars,Syrah,US,Washington,25.0,86
20551,Seven Hills,Merlot,US,Washington,22.0,91
20552,Villa Girardi,Red Blend,Italy,Veneto,65.0,86
20553,Viña Bisquertt,Cabernet Sauvignon,Chile,Colchagua Valley,15.0,86
20554,Kimmel,Cabernet Sauvignon,US,California,48.0,88
20555,Abbadia Ardenga,Sangiovese,Italy,Tuscany,65.0,95
20556,Kon Tiki,Merlot,Chile,Central Valley,13.0,84
20557,Mastroberardino,Falanghina,Italy,Southern Italy,19.0,86
20558,Salcheto,Sangiovese,Italy,Tuscany,28.0,92
20559,Josef Ehmoser,Grüner Veltliner,Austria,Wagram-Donauland,15.0,88
20560,Sottano,Malbec,Argentina,Mendoza Province,15.0,83
20561,Saviah,Red Blend,US,Washington,16.0,88
20562,Astrales,Tinto Fino,Spain,Northern Spain,90.0,93
20563,Domaine de la,Rosé,France,Provence,16.0,87
20564,Slow Press,Cabernet Sauvignon,US,California,17.0,84
20565,Dillon,Chardonnay,US,California,20.0,81
20566,McFadden,Sauvignon Blanc,US,California,15.0,84
20567,Dr. Pauly Bergweiler,Riesling,Germany,Mosel,26.0,91
20568,Boude Baudin,Chardonnay,France,Champagne,54.0,92
20569,Domaine de Vaugondy,Chenin Blanc,France,Loire Valley,15.0,87
20570,Mascarello Giuseppe e,Nebbiolo,Italy,Piedmont,175.0,99
20571,Stemmari,Grillo,Italy,Sicily & Sardinia,10.0,89
20572,Wellington,Roussanne,US,California,25.0,88
20573,Cameron Hughes,Syrah,US,California,12.0,83
20574,Amity Vineyards,Pinot Noir,US,Oregon,35.0,88
20575,Sutcliffe,Cabernet Franc,US,Colorado,28.0,89
20576,Tumara,Pinotage,South Africa,Stellenbosch,17.0,87
20577,Savage Grace,Sauvignon Blanc,US,Washington,22.0,87
20578,Michele Chiarlo,Nebbiolo,Italy,Piedmont,47.0,88
20579,Planeta,Red Blend,Italy,Sicily & Sardinia,24.0,87
20580,Cheval Quancard,Bordeaux-style Red Blend,France,Bordeaux,12.0,85
20581,Sangervasio,Cabernet Sauvignon,Italy,Tuscany,62.0,88
20582,Lis Neris,White Blend,Italy,Northeastern Italy,43.0,88
20583,Gainey,Pinot Noir,US,California,48.0,90
20584,Sapolil Cellars,Syrah,US,Washington,35.0,90
20585,KWV,Cabernet Blend,South Africa,Western Cape,14.0,86
20586,Chamisal Vineyards,Pinot Gris,US,California,24.0,92
20587,Colombera & Garella,Red Blend,Italy,Piedmont,20.0,90
20588,Bianchi,G-S-M,US,California,22.0,89
20589,Podere Paganico,Sangiovese,Italy,Tuscany,48.0,89
20590,DFJ Vinhos,Touriga Nacional,Portugal,Estremadura,13.0,84
20591,Punset,Nebbiolo,Italy,Piedmont,48.0,85
20592,González Byass,Sherry,Spain,Andalucia,49.0,91
20593,Alain Girard et,Sauvignon Blanc,France,Loire Valley,29.0,89
20594,Maryhill,Grenache,US,Washington,26.0,83
20595,Cave de Lugny,Chardonnay,France,Burgundy,10.0,84
20596,Chilcas,Merlot,Chile,Maule Valley,12.0,85
20597,Domaine Alfred,Pinot Noir,US,California,38.0,86
20598,Manuel Olivier,Pinot Noir,France,Burgundy,80.0,89
20599,William Cole,Pinot Noir,Chile,Casablanca Valley,13.0,83
20600,Sileni,Sauvignon Blanc,New Zealand,Marlborough,13.0,88
20601,Ousterhout,Pinot Noir,US,California,29.0,91
20602,Thurston Wolfe,Syrah,US,Washington,20.0,87
20603,Henry Fessy,Gamay,France,Beaujolais,13.0,86
20604,Domaine Sorin,Rosé,France,Provence,12.0,88
20605,Skyhawk Lane,Albariño,US,California,36.0,85
20606,Vinícola Hidalgo,Sherry,Spain,Andalucia,18.0,92
20607,Château Philippe-le-Hardi,Pinot Noir,France,Burgundy,24.0,86
20608,Jim Barry,Riesling,Australia,South Australia,19.0,91
20609,Speri,"Corvina, Rondinella, Molinara",Italy,Veneto,25.0,90
20610,Cusumano,White Blend,Italy,Sicily & Sardinia,14.0,85
20611,Law,Red Blend,US,California,69.0,93
20612,Villa Wolf,Gewürztraminer,Germany,Pfalz,12.0,87
20613,Korbel,Sparkling Blend,US,California,14.0,90
20614,Swedish Hill,Riesling,US,New York,22.0,86
20615,Cantine Barbera,Red Blend,Italy,Sicily & Sardinia,42.0,88
20616,Alves de Sousa,Portuguese Red,Portugal,Douro,14.0,85
20617,La Pisara,Red Blend,Italy,Southern Italy,12.0,85
20618,Pacific Rim,Riesling,US,Washington,55.0,90
20619,Lionel Osmin &,Red Blend,France,Southwest France,16.0,88
20620,Domaine Fouassier,Sauvignon Blanc,France,Loire Valley,29.0,92
20621,F X Pichler,Grüner Veltliner,Austria,Wachau,85.0,92
20622,Palencia,Albariño,US,Washington,20.0,86
20623,Siduri,Pinot Noir,US,California,52.0,92
20624,Patrice Moreux,Sauvignon Blanc,France,Loire Valley,25.0,91
20625,Gård,Pinot Gris,US,Washington,22.0,85
20626,Sheldrake Point,Cabernet Franc,US,New York,17.0,82
20627,Château Bianca,Pinot Gris,US,Oregon,12.0,88
20628,Domaine Michel Goubard,Chardonnay,France,Burgundy,22.0,86
20629,Volker Eisele Family,Cabernet Sauvignon,US,California,48.0,93
20630,Raventós I Blanc,Xarel-lo,Spain,Catalonia,24.0,88
20631,Whitehaven,Sauvignon Blanc,New Zealand,Marlborough,20.0,90
20632,Indaba,Merlot,South Africa,Western Cape,12.0,87
20633,Pollak,Merlot,US,Virginia,22.0,87
20634,L.A. Cetto,Cabernet Sauvignon,Mexico,Valle de Guadalupe,18.0,87
20635,Codirosso,Sangiovese,Italy,Tuscany,10.0,83
20636,The Winery SF,Red Blend,US,California,18.0,85
20637,Remelluri,Red Blend,Spain,Northern Spain,45.0,91
20638,Heathcote Estate,Shiraz,Australia,Victoria,95.0,89
20639,Sonoma-Cutrer,Pinot Noir,US,California,46.0,88
20640,Barrister,Malbec,US,Washington,28.0,90
20641,Baxter,Pinot Noir,US,California,35.0,87
20642,Peñalolen,Cabernet Sauvignon,Chile,Maipo Valley,20.0,90
20643,Terrazas de Los,Chardonnay,Argentina,Mendoza Province,12.0,84
20644,Familie Zull,Grüner Veltliner,Austria,Niederösterreich,15.0,89
20645,Fournier Père et,Sauvignon Blanc,France,Loire Valley,11.0,84
20646,Waters,Syrah,US,Washington,40.0,90
20647,Heinz Eifel,Riesling,Germany,Rheinhessen,11.0,87
20648,Kynsi,Syrah,US,California,25.0,83
20649,Château Margaux,Bordeaux-style Red Blend,France,Bordeaux,450.0,97
20650,Barra of Mendocino,Chardonnay,US,California,18.0,85
20651,Saint K,Grenache Blanc,US,California,24.0,90
20652,Sbragia,Chardonnay,US,California,30.0,88
20653,Domaine Luneau-Papin,Melon,France,Loire Valley,24.0,89
20654,Zahel,White Blend,Austria,Wiener Gemischter Satz,18.0,90
20655,Ernie Els,Red Blend,South Africa,Western Cape,20.0,88
20656,Cuevas del Sur,Chardonnay,Chile,Maule Valley,15.0,80
20657,Di Giovanna,Grillo,Italy,Sicily & Sardinia,18.0,88
20658,Jacquart,Champagne Blend,France,Champagne,63.0,89
20659,Willamette Valley Vineyards,Pinot Noir,US,Oregon,30.0,87
20660,Merryvale,Chardonnay,US,California,29.0,90
20661,Buena Vista,Merlot,US,California,21.0,82
20662,J. Lohr,Cabernet Sauvignon,US,California,35.0,90
20663,Sbragia,Sauvignon Blanc,US,California,20.0,91
20664,Trapiche,Cabernet Sauvignon,Argentina,Mendoza Province,20.0,89
20665,Bouza de Carril,Albariño,Spain,Galicia,17.0,87
20666,Baglio di Pianetto,Insolia,Italy,Sicily & Sardinia,12.0,86
20667,Steininger,Sparkling Blend,Austria,Österreichischer Sekt,29.0,90
20668,Joseph Drouhin,Chardonnay,France,Burgundy,99.0,95
20669,Principe di Corleone,Grillo,Italy,Sicily & Sardinia,13.0,86
20670,Suberli,Sangiovese,Italy,Tuscany,25.0,88
20671,Sartarelli,White Blend,Italy,Central Italy,11.0,83
20672,Dr. Heidemanns-Bergweiler,Riesling,Germany,Mosel,28.0,90
20673,Wynns Coonawarra Estate,Cabernet Sauvignon,Australia,South Australia,40.0,90
20674,Chandon,Sparkling Blend,US,California,22.0,86
20675,Andeluna,Torrontés,Argentina,Mendoza Province,15.0,86
20676,Apolloni,Pinot Grigio,US,Oregon,16.0,87
20677,Finca Nueva,White Blend,Spain,Northern Spain,15.0,88
20678,Steven Kent,Petit Verdot,US,California,50.0,91
20679,Cellars 33,Pinot Noir,US,California,52.0,93
20680,Talbott,Chardonnay,US,California,52.0,93
20681,Migration,Pinot Noir,US,California,68.0,88
20682,Umani Ronchi,Verdicchio,Italy,Central Italy,22.0,89
20683,Spindrift Cellars,Pinot Gris,US,Oregon,14.0,90
20684,Mas du Soleilla,Rhône-style Red Blend,France,Languedoc-Roussillon,63.0,91
20685,Jim Barry,Cabernet Sauvignon,Australia,South Australia,60.0,92
20686,Bridlewood,Cabernet Sauvignon,US,California,15.0,83
20687,J.P. Chenet,Pinot Noir,France,France Other,10.0,84
20688,Pascual Toso,Cabernet Sauvignon,Argentina,Mendoza Province,24.0,87
20689,Codorníu,Sparkling Blend,Spain,Catalonia,15.0,87
20690,Vina Robles,White Blend,US,California,16.0,86
20691,Von Holt,Syrah,US,California,30.0,90
20692,Horton,Rosé,US,Virginia,25.0,88
20693,Banshee Wines,Pinot Noir,US,California,45.0,92
20694,Bressia,Syrah,Argentina,Mendoza Province,27.0,89
20695,Jean-Marc Bernhard,Riesling,France,Alsace,34.0,92
20696,Celestial Bay,Cabernet Sauvignon,Australia,Western Australia,22.0,86
20697,JM Cellars,Bordeaux-style Red Blend,US,Washington,42.0,91
20698,Château de Cérons,Bordeaux-style White Blend,France,Bordeaux,50.0,90
20699,Bleasdale,Verdelho,Australia,South Australia,14.0,87
20700,Georges Duboeuf,Chardonnay,France,Burgundy,24.0,87
20701,Morgenhof,Sauvignon Blanc,South Africa,Simonsberg-Stellenbosch,19.0,89
20702,Domaine Drouhin,Chardonnay,US,Oregon,35.0,92
20703,Angeli di Varano,Montepulciano,Italy,Central Italy,19.0,87
20704,Pali,Pinot Noir,US,California,56.0,90
20705,Pepi,Sauvignon Blanc,US,California,10.0,88
20706,Dutton-Goldfield,Pinot Noir,US,California,72.0,91
20707,Max Ferd. Richter,Riesling,Germany,Mosel,20.0,90
20708,Cerro Prieto,Pinot Noir,US,California,42.0,93
20709,Billsboro,Cabernet Franc,US,New York,25.0,89
20710,Pierre Chainier,Sauvignon Blanc,France,Loire Valley,13.0,85
20711,Cave de Ribeauvillé,Pinot Blanc,France,Alsace,14.0,86
20712,Westerly,Red Blend,US,California,75.0,95
20713,Fulkerson,Riesling,US,New York,13.0,86
20714,Zonte's Footstep,Verdelho,Australia,South Australia,15.0,88
20715,Berger,Grüner Veltliner,Austria,Niederösterreich,17.0,85
20716,Gualdo del Re,Cabernet Sauvignon,Italy,Tuscany,40.0,91
20717,Casa do Valle,Portuguese Red,Portugal,Minho,15.0,88
20718,Nals Margreid,Red Blend,Italy,Northeastern Italy,19.0,88
20719,Sobon Estate,Rhône-style Red Blend,US,California,14.0,88
20720,Tucannon,Cabernet Sauvignon,US,Washington,35.0,85
20721,Valle da Fonte,Portuguese Red,Portugal,Douro,13.0,88
20722,Merotto,Glera,Italy,Veneto,26.0,87
20723,Henschke,Red Blend,Australia,South Australia,35.0,91
20724,Adelaida,Cabernet Sauvignon,US,California,35.0,84
20725,Ca' del Baio,Nebbiolo,Italy,Piedmont,112.0,85
20726,Frank Family,Pinot Noir,US,California,65.0,86
20727,Jean Laurent,Pinot Noir,France,Champagne,60.0,91
20728,Benessere,Sangiovese,US,California,18.0,87
20729,Brotte,Rhône-style Red Blend,France,Rhône Valley,45.0,92
20730,Stable Hill,Pinot Noir,Australia,South Australia,18.0,84
20731,Velenosi,Red Blend,Italy,Central Italy,55.0,89
20732,Bodegas Antaño,Verdejo,Spain,Northern Spain,35.0,86
20733,Belle Ambiance,Cabernet Sauvignon,US,California,10.0,86
20734,Bonotto delle Tezze,Pinot Grigio,Italy,Veneto,9.0,84
20735,Billsboro,Riesling,US,New York,17.0,88
20736,Kutch,Pinot Noir,US,California,39.0,89
20737,Glass House,Traminette,US,Virginia,15.0,81
20738,Wynns Coonawarra Estate,Chardonnay,Australia,South Australia,9.0,84
20739,Louis Latour,Chardonnay,France,Burgundy,25.0,87
20740,Bouchard Père &,Pinot Noir,France,Burgundy,55.0,90
20741,Conarium,Chardonnay,US,California,40.0,90
20742,Nieto Senetiner,Pinot Noir,Argentina,Mendoza Province,11.0,84
20743,Lumen,Grenache Blanc,US,California,25.0,88
20744,Record Family Wines,Grenache-Syrah,US,California,30.0,83
20745,Lapostolle,Merlot,Chile,Rapel Valley,14.0,87
20746,Agrina,Portuguiser,Serbia,Fruška Gora,15.0,86
20747,Vadiaperti,Greco,Italy,Southern Italy,38.0,89
20748,Amalie Robert,Chardonnay,US,Oregon,50.0,90
20749,Famille Perrin,Rhône-style White Blend,France,Rhône Valley,92.0,91
20750,Nicolas Feuillatte,Champagne Blend,France,Champagne,90.0,91
20751,Château Peyros,Tannat,France,Southwest France,40.0,93
20752,Dominio Dostares,Prieto Picudo,Spain,Northern Spain,17.0,87
20753,Cascina Chicco,Barbera,Italy,Piedmont,25.0,88
20754,Neirano,Dolcetto,Italy,Piedmont,10.0,85
20755,Schröder & Schÿler,Bordeaux-style Red Blend,France,Bordeaux,15.0,86
20756,Acordeón,Malbec,Argentina,Mendoza Province,9.0,84
20757,Château Bellevue la,Rosé,France,Southwest France,14.0,87
20758,Hatzimichalis,White Blend,Greece,Atalanti Valley,35.0,85
20759,Georges Duboeuf,Gamay,France,Beaujolais,20.0,90
20760,Cono Sur,Pinot Noir,Chile,Casablanca Valley,24.0,88
20761,Domaine Céline et,Sauvignon Blanc,France,Burgundy,20.0,87
20762,Domaine des Tilleuls,Melon,France,Loire Valley,12.0,88
20763,Leopard Frog,Chenin Blanc,South Africa,Stellenbosch,31.0,88
20764,Beltane Ranch,Sauvignon Blanc,US,California,29.0,88
20765,Mionetto,Sparkling Blend,Italy,Veneto,20.0,85
20766,31st State,Pinot Noir,US,California,10.0,83
20767,Castle Rock,Pinot Noir,US,California,14.0,86
20768,Kilikanoon,Shiraz,Australia,South Australia,105.0,94
20769,Vite Colte,Nebbiolo,Italy,Piedmont,45.0,89
20770,Lawer,Syrah,US,California,32.0,86
20771,Primarius,Pinot Noir,US,Oregon,15.0,88
20772,Claiborne & Churchill,Gewürztraminer,US,California,20.0,90
20773,Marimar Estate,Syrah-Tempranillo,US,California,45.0,92
20774,Soléna,Pinot Noir,US,Oregon,45.0,89
20775,flipflop,Pinot Noir,Chile,Chile,7.0,81
20776,Cable Car,Chardonnay,US,California,13.0,84
20777,Cordero di Montezemolo,Barbera,Italy,Piedmont,35.0,89
20778,Monte Smith,Pinot Gris,US,California,14.0,86
20779,Dorigo,Sauvignon,Italy,Northeastern Italy,16.0,86
20780,Hendry,Bordeaux-style Red Blend,US,California,38.0,86
20781,Pradorey,Tempranillo,Spain,Northern Spain,25.0,88
20782,Barberani,White Blend,Italy,Central Italy,15.0,88
20783,Pondera,Bordeaux-style Red Blend,US,Washington,42.0,89
20784,Jarvis,Bordeaux-style Red Blend,US,California,135.0,88
20785,Uvaggio,Primitivo,US,California,18.0,90
20786,John Anthony,Sauvignon Blanc,US,California,20.0,90
20787,Great American Wine,Chardonnay,US,California,16.0,90
20788,Château Latour à,Bordeaux-style Red Blend,France,Bordeaux,110.0,89
20789,McIntyre Vineyards,Pinot Noir,US,California,56.0,93
20790,Kendall-Jackson,Chardonnay,US,California,21.0,90
20791,Stoller,Chardonnay,US,Oregon,28.0,88
20792,Produttori del Barbaresco,Nebbiolo,Italy,Piedmont,58.0,94
20793,Ghost Hill,Pinot Noir,US,Oregon,55.0,91
20794,Presqu'ile,Chardonnay,US,California,35.0,93
20795,Stéphane Aviron,Gamay,France,Beaujolais,19.0,90
20796,Shumi Winery,Saperavi,Georgia,Kakheti,15.0,89
20797,Feiler-Artinger,Zweigelt,Austria,Burgenland,17.0,87
20798,Seven Hills,Pinot Gris,US,Oregon,16.0,85
20799,Mercer,Viognier,US,Washington,13.0,88
20800,Jean-Luc and Paul,Pinot Noir,France,Burgundy,33.0,87
20801,Stag's Leap Wine,Cabernet Sauvignon,US,California,95.0,94
20802,Wittmann,Riesling,Germany,Rheinhessen,18.0,92
20803,Asensio,Merlot,Spain,Northern Spain,29.0,82
20804,Palladino,Nebbiolo,Italy,Piedmont,75.0,91
20805,Paul Cluver,Riesling,South Africa,Elgin,20.0,90
20806,Pieve de' Pitti,Sangiovese,Italy,Tuscany,24.0,87
20807,Pelissero,Nebbiolo,Italy,Piedmont,39.0,90
20808,Kelley Fox,Pinot Noir,US,Oregon,50.0,94
20809,Concha y Toro,Cabernet Sauvignon,Chile,Maipo Valley,40.0,88
20810,Pieve Vecchia,Red Blend,Italy,Tuscany,18.0,85
20811,Eberle,Viognier,US,California,26.0,87
20812,Kobler,Chardonnay,US,California,54.0,91
20813,Philo Ridge,Pinot Gris,US,California,19.0,88
20814,Le Fonti,Red Blend,Italy,Tuscany,38.0,87
20815,Domaine de la,Rhône-style Red Blend,France,Rhône Valley,10.0,88
20816,Early Mountain,Red Blend,US,Virginia,32.0,86
20817,Joh. Jos. Prüm,Riesling,Germany,Mosel,110.0,93
20818,14 Hands,Cabernet Sauvignon,US,Washington,12.0,88
20819,Tio Pepe,Palomino,Spain,Andalucia,20.0,89
20820,Seguin-Manuel,Pinot Noir,France,Burgundy,52.0,94
20821,Amalie Robert,Chardonnay,US,Oregon,22.0,85
20822,Château la Verrière,Rosé,France,Bordeaux,15.0,86
20823,Château Valcolombe,Rosé,France,Provence,16.0,88
20824,Piattelli,Bordeaux-style Red Blend,Argentina,Mendoza Province,35.0,90
20825,Cockburn's,Port,Portugal,Port,50.0,92
20826,Markham,Red Blend,US,California,25.0,87
20827,Turnbull,Cabernet Sauvignon,US,California,140.0,92
20828,Domaines Schlumberger,Pinot Blanc,France,Alsace,15.0,87
20829,Martin & Weyrich,Nebbiolo,US,California,18.0,82
20830,Pratsch,Sauvignon Blanc,Austria,Niederösterreich,23.0,87
20831,Domaine G. Metz,Riesling,France,Alsace,22.0,94
20832,Foxes Island,Pinot Noir,New Zealand,Marlborough,24.0,88
20833,Bigvine,Cabernet Sauvignon,US,California,19.0,85
20834,J. Garcia Carrion,Tempranillo,Spain,Northern Spain,8.0,83
20835,Perlage,Glera,Italy,Veneto,25.0,91
20836,Rios de Tinta,Tempranillo,Spain,Northern Spain,14.0,85
20837,Borgo Maragliano,Sparkling Blend,Italy,Italy Other,30.0,90
20838,Horsepower,Syrah,US,Washington,120.0,96
20839,Quinta Nova de,Port,Portugal,Port,28.0,91
20840,Merry Cellars,Petit Verdot,US,Washington,46.0,90
20841,Laetitia,Sparkling Blend,US,California,25.0,89
20842,Clos du Bois,Cabernet Sauvignon,US,California,18.0,81
20843,Argana,Syrah,Argentina,Mendoza Province,12.0,82
20844,Gustave Lorentz,Gewürztraminer,France,Alsace,25.0,87
20845,Tertulia,Bordeaux-style Red Blend,US,Washington,15.0,87
20846,Hightower,Syrah,US,Washington,20.0,87
20847,Château Blanchereau,Bordeaux-style Red Blend,France,Bordeaux,18.0,85
20848,Damiani,Rosé,US,New York,18.0,90
20849,Château du Vallier,Bordeaux-style Red Blend,France,Bordeaux,20.0,86
20850,Claiborne & Churchill,Riesling,US,California,28.0,91
20851,Ashan,Chardonnay,US,Washington,40.0,90
20852,Chasseur,Chardonnay,US,California,40.0,87
20853,Twisted Oak,Syrah,US,California,32.0,87
20854,Longoria,Pinot Noir,US,California,45.0,86
20855,William Church,Red Blend,US,Washington,32.0,85
20856,Hubert Meyer,Pinot Noir,France,Alsace,14.0,85
20857,Lombard et Cie,Champagne Blend,France,Champagne,40.0,88
20858,Seghesio,Zinfandel,US,California,24.0,88
20859,Patz & Hall,Chardonnay,US,California,35.0,87
20860,Hatzimichalis,Chardonnay,Greece,Atalanti Valley,22.0,86
20861,Picazo,Merlot,US,California,80.0,85
20862,Doyenne,Rhône-style Red Blend,US,Washington,44.0,90
20863,Egeo,Verdejo,Spain,Northern Spain,13.0,86
20864,Duckhorn,Merlot,US,California,85.0,94
20865,Carol Shelton,Red Blend,US,California,30.0,90
20866,Santa Alicia,Malbec,Chile,Maipo Valley,12.0,85
20867,Von Schleinitz,Riesling,Germany,Mosel,15.0,88
20868,Errazuriz,Red Blend,Chile,Aconcagua Valley,95.0,90
20869,Scott Harvey,Zinfandel,US,California,38.0,94
20870,Finca El Origen,Cabernet Sauvignon,Argentina,Mendoza Province,23.0,91
20871,Patz & Hall,Chardonnay,US,California,55.0,92
20872,Herdade dos Coelheiros,Portuguese Red,Portugal,Alentejano,8.0,87
20873,Stryker Sonoma,Petit Verdot,US,California,45.0,92
20874,Winter's Hill,Pinot Gris,US,Oregon,19.0,88
20875,Gary Farrell,Chardonnay,US,California,45.0,90
20876,Albino Rocca,Nebbiolo,Italy,Piedmont,40.0,91
20877,Cerulean,Pinot Noir,US,Washington,36.0,86
20878,Galvan,Cabernet Franc,US,California,36.0,91
20879,Della,Chardonnay,US,California,70.0,94
20880,Quinta do Vale,Portuguese Red,Portugal,Douro,90.0,97
20881,Iron Horse,Chardonnay,US,California,62.0,94
20882,Cantina del Taburno,Rosé,Italy,Southern Italy,15.0,85
20883,Kracher,Rosenmuskateller,Austria,Austria,150.0,92
20884,Syncline,White Blend,US,Washington,20.0,88
20885,Produttori del Barbaresco,Nebbiolo,Italy,Piedmont,35.0,90
20886,Adelsheim,Auxerrois,US,Oregon,22.0,89
20887,Andis,Barbera,US,California,30.0,92
20888,Cave de Kientzheim-Kaysersberg,Pinot Blanc,France,Alsace,17.0,85
20889,Terre di Melazzano,Red Blend,Italy,Tuscany,30.0,87
20890,Villa Maria,Sauvignon Blanc,New Zealand,Marlborough,18.0,91
20891,Geyser Peak,Cabernet Sauvignon,US,California,18.0,84
20892,Husch,Gewürztraminer,US,California,25.0,94
20893,Bonair,Cabernet Franc,US,Washington,15.0,90
20894,Stella Fino,Sangiovese,US,Washington,19.0,86
20895,Nagy,Syrah,US,California,30.0,88
20896,Henri de Villamont,Chardonnay,France,Burgundy,28.0,88
20897,Château Bourseau,Bordeaux-style Red Blend,France,Bordeaux,60.0,91
20898,Palari,Francisa,Italy,Sicily & Sardinia,160.0,91
20899,Bernhard Ott,Grüner Veltliner,Austria,Wagram,62.0,92
20900,Tegernseerhof,Riesling,Austria,Wachau,30.0,94
20901,Wrights Station,Chardonnay,US,California,35.0,91
20902,Markham,Sauvignon Blanc,US,California,15.0,85
20903,Alfasi,Cabernet Sauvignon,Chile,Maule Valley,8.0,82
20904,Simonnet-Febvre,Chardonnay,France,Burgundy,80.0,93
20905,Terra Valentine,Cabernet Sauvignon,US,California,34.0,91
20906,Blanco Nieva,Verdejo,Spain,Northern Spain,22.0,89
20907,Quady North,Cabernet Franc,US,Oregon,35.0,92
20908,Rusack,Pinot Noir,US,California,30.0,88
20909,Château Ferrière,Bordeaux-style Red Blend,France,Bordeaux,34.0,87
20910,Clos Pegase,Sauvignon Blanc,US,California,20.0,87
20911,Vieil Armand,Pinot Gris,France,Alsace,16.0,85
20912,Albert Bichot,Pinot Noir,France,Burgundy,195.0,94
20913,Domaine Chenevières,Chardonnay,France,Burgundy,35.0,92
20914,Indomita,Pinot Noir,Chile,Casablanca Valley,18.0,86
20915,Thema,Red Blend,Greece,Drama,24.0,88
20916,St. Julian,Riesling,US,Michigan,20.0,86
